Well_id,Na,Mg,Al,P,S,Ca,Fe,Mn,Initial_g,Deployment
42_2,0,0.5979156997296001,3.2332668300503995,0.3027262261236,2.5122508392000356,9.164691061401598,2.8589414550096004,0,20,4
42_3,0,0.3466906158095999,2.1881704809432,0.49742566616160006,25.122508392000057,8.1597907257216,0,0,20,4
42_4,0,0.427082642664,1.1631721385495994,0.7687487567951998,110.53903692480007,10.189689403795201,0.2034923179751999,0,20,4
52_2,0,6.350970121497599,12.608986961944801,2.5172753408783994,130.6370436384001,27.534269197631996,1.5123750051984,6.3911661349247995,20,4
52_3,0,1.3917869649167998,6.4388989008696,1.3013459347055996,261.27408727680006,11.4156678133248,1.0702188574992006,0,20,4
52_4,0,1.4420319817007998,5.303361521551199,1.1204638742832,381.86212755840006,9.3053771083968,1.0626821049816,0,20,4
86_2,0,2.2183174910136,5.815860692747998,2.1555112200335995,341.66611413120006,25.474223509487995,16.992864676348802,0,20,4
86_3,0,1.3415419481328,6.0570367733112,1.2109049044944,442.1561476992001,9.8882193030912,0,0,20,4
86_4,0,0.37683762587999986,0.7511630009207997,1.4420319817008,401.96013427200006,6.662489225558399,0.4848644119656,0,20,4
IRA,0,0.0976593,0.24417975300000005,0.061304838,6.678636000000002,0.6834890880000002,0.07598523600000001,0.084680064,20,4
